Location,City,city_name,state_name,Lat,Lng
"New York, NY",505,New York, NY,40.7127753,-74.0059728
"Boston, MA",210,Boston, MA,42.3600825,-71.0588801
"Charlotte, NC",203,Charlotte, NC,35.2270869,-80.8431267
"Atlanta, GA",198,Atlanta, GA,33.7489954,-84.3879824
"Irvine, CA",192,Irvine, CA,33.6845673,-117.8265049
"San Francisco, CA",183,San Francisco, CA,37.7749295,-122.4194155
"Tampa, FL",182,Tampa, FL,27.950575,-82.4571776
"Austin, TX",173,Austin, TX,30.267153,-97.7430608
"Chicago, IL",173,Chicago, IL,41.8781136,-87.6297982
"Culver City, CA",169,Culver City, CA,34.0211224,-118.3964665
"Saint Louis, MO",168,Saint Louis, MO,38.6270025,-90.19940419999999
"Seattle, WA",168,Seattle, WA,47.6062095,-122.3320708
"Boulder, CO",167,Boulder, CO,40.0149856,-105.2705456
"Manhattan, NY",164,Manhattan, NY,40.7830603,-73.9712488
"Alpharetta, GA",157,Alpharetta, GA,34.0753762,-84.2940899
"Pittsburgh, PA",155,Pittsburgh, PA,40.44062479999999,-79.9958864
"Los Angeles, CA",152,Los Angeles, CA,34.0522342,-118.2436849
"Salt Lake City, UT",148,Salt Lake City, UT,40.7607793,-111.8910474
"Mclean, VA",145,Mclean, VA,38.9338676,-77.1772604
"Portland, OR",145,Portland, OR,45.5122308,-122.6587185
"San Diego, CA",142,San Diego, CA,32.715738,-117.1610838
"Sunnyvale, CA",135,Sunnyvale, CA,37.36883,-122.0363496
"Phoenix, AZ",134,Phoenix, AZ,33.4483771,-112.0740373
"Raleigh, NC",131,Raleigh, NC,35.7795897,-78.6381787
"Waltham, MA",130,Waltham, MA,42.3764852,-71.2356113
"Irving, TX",119,Irving, TX,32.8140177,-96.9488945
"Philadelphia, PA",118,Philadelphia, PA,39.9525839,-75.1652215
"Denver, CO",118,Denver, CO,39.7392358,-104.990251
"Beaverton, OR",115,Beaverton, OR,45.4887993,-122.8013332
"Orlando, FL",115,Orlando, FL,28.5383355,-81.3792365
"Redwood City, CA",111,Redwood City, CA,37.48521520000001,-122.2363548
"Santa Monica, CA",106,Santa Monica, CA,34.0194543,-118.4911912
"Miami, FL",106,Miami, FL,25.7616798,-80.1917902
"Santa Clara, CA",105,Santa Clara, CA,37.3541079,-121.9552356
"Plano, TX",103,Plano, TX,33.0198431,-96.6988856
"Carlsbad, CA",102,Carlsbad, CA,33.1580933,-117.3505939
"Menlo Park, CA",102,Menlo Park, CA,37.4529598,-122.1817252
"Reston, VA",99,Reston, VA,38.9586307,-77.35700279999999
"Pasadena, CA",95,Pasadena, CA,34.1477849,-118.1445155
"Wilmington, DE",94,Wilmington, DE,39.744655,-75.5483909
"Richmond, VA",93,Richmond, VA,37.5407246,-77.4360481
"Oakland, CA",93,Oakland, CA,37.8043637,-122.2711137
"Herndon, VA",93,Herndon, VA,38.9695545,-77.3860976
"Richardson, TX",92,Richardson, TX,32.9483335,-96.7298519
"Houston, TX",90,Houston, TX,29.7604267,-95.3698028
"Newport Beach, CA",89,Newport Beach, CA,33.6188829,-117.9298493
"Foster City, CA",88,Foster City, CA,37.5585465,-122.2710788
"Minneapolis, MN",88,Minneapolis, MN,44.977753,-93.2650108
"Brooklyn, NY",88,Brooklyn, NY,40.6781784,-73.9441579
"Albany, NY",86,Albany, NY,42.6525793,-73.7562317
"Baltimore, MD",86,Baltimore, MD,39.2903848,-76.6121893
"Las Vegas, NV",83,Las Vegas, NV,36.1699412,-115.1398296
"Jersey City, NJ",83,Jersey City, NJ,40.7177545,-74.0431435
"Eden Prairie, MN",83,Eden Prairie, MN,44.8546856,-93.47078599999999
"Hillsboro, OR",83,Hillsboro, OR,45.5200114,-122.9365835
"Cincinnati, OH",76,Cincinnati, OH,39.1031182,-84.5120196
"Lansing, MI",76,Lansing, MI,42.732535,-84.5555347
"Dearborn, MI",76,Dearborn, MI,42.3222599,-83.17631449999999
"Columbus, OH",75,Columbus, OH,39.9611755,-82.99879419999999
"San Jose, CA",75,San Jose, CA,37.3382082,-121.8863286
"Framingham, MA",75,Framingham, MA,42.279286,-71.4161565
"Nashville, TN",74,Nashville, TN,36.1626638,-86.7816016
"Fort Worth, TX",74,Fort Worth, TX,32.7554883,-97.3307658
"Stamford, CT",74,Stamford, CT,41.0534302,-73.5387341
"Southfield, MI",73,Southfield, MI,42.4733688,-83.2218731
"Fremont, CA",73,Fremont, CA,37.5482697,-121.9885719
"Omaha, NE",72,Omaha, NE,41.2565369,-95.9345034
"Alexandria, VA",72,Alexandria, VA,38.8048355,-77.0469214
"Woburn, MA",72,Woburn, MA,42.4792618,-71.1522765
"Tempe, AZ",71,Tempe, AZ,33.4255104,-111.9400054
"Columbia, SC",70,Columbia, SC,34.0007104,-81.0348144
"Mountain View, CA",69,Mountain View, CA,37.3860517,-122.0838511
"Deerfield, IL",68,Deerfield, IL,42.1711365,-87.8445119
"Thousand Oaks, CA",68,Thousand Oaks, CA,34.1705609,-118.8375937
"Indianapolis, IN",68,Indianapolis, IN,39.768403,-86.158068
"Detroit, MI",67,Detroit, MI,42.331427,-83.0457538
"Burbank, CA",67,Burbank, CA,34.1808392,-118.3089661
"Cleveland, OH",67,Cleveland, OH,41.49932,-81.6943605
"Palo Alto, CA",65,Palo Alto, CA,37.4418834,-122.1430195
"Arlington, VA",65,Arlington, VA,38.8816208,-77.09098089999999
"Scottsdale, AZ",63,Scottsdale, AZ,33.4941704,-111.9260519
"New York City, NY",62,New York City, NY,40.7127753,-74.0059728
"Nyc, NY",62,Nyc, NY,40.7127753,-74.0059728
"Englewood, CO",61,Englewood, CO,39.6477653,-104.9877597
"Dallas, TX",60,Dallas, TX,32.7766642,-96.79698789999999
"Hartford, CT",60,Hartford, CT,41.7658043,-72.6733723
"Long Beach, CA",59,Long Beach, CA,33.7700504,-118.1937395
"Torrance, CA",59,Torrance, CA,33.8358492,-118.3406288
"Owings Mills, MD",58,Owings Mills, MD,39.4195499,-76.7802528
"Princeton, NJ",58,Princeton, NJ,40.3572976,-74.6672226
"Cambridge, MA",58,Cambridge, MA,42.3736158,-71.10973349999999
"Jacksonville, FL",58,Jacksonville, FL,30.3321838,-81.65565099999999
"Saint Paul, MN",58,Saint Paul, MN,44.9537029,-93.0899578
"Norfolk, VA",57,Norfolk, VA,36.8507689,-76.28587259999999
"Springfield, VA",57,Springfield, VA,38.7892801,-77.18720359999999
"Rancho Cordova, CA",56,Rancho Cordova, CA,38.5890723,-121.302728
"Piscataway, NJ",55,Piscataway, NJ,40.554887,-74.4642861
"West Hollywood, CA",55,West Hollywood, CA,34.0900091,-118.3617443
"Harrisburg, PA",55,Harrisburg, PA,40.2731911,-76.8867008
"Madison, WI",55,Madison, WI,43.0730517,-89.4012302
"Boca Raton, FL",54,Boca Raton, FL,26.3683064,-80.1289321
"Newark, NJ",54,Newark, NJ,40.735657,-74.1723667
"Warren, NJ",53,Warren, NJ,40.6342489,-74.50047959999999
"Sacramento, CA",52,Sacramento, CA,38.5815719,-121.4943996
"San Antonio, TX",52,San Antonio, TX,29.4241219,-98.49362819999999
"Memphis, TN",52,Memphis, TN,35.1495343,-90.0489801
"Glendale, CA",52,Glendale, CA,34.1425078,-118.255075
"Milpitas, CA",51,Milpitas, CA,37.4323341,-121.8995741
"Bethesda, MD",51,Bethesda, MD,38.984652,-77.0947092
"Edison, NJ",50,Edison, NJ,40.5187154,-74.4120953
"Tallahassee, FL",49,Tallahassee, FL,30.4382559,-84.28073289999999
"Pensacola, FL",48,Pensacola, FL,30.42130899999999,-87.2169149
"Westborough, MA",48,Westborough, MA,42.2695216,-71.61612939999999
"Marlborough, MA",48,Marlborough, MA,42.3459271,-71.5522874
"Dublin, OH",47,Dublin, OH,40.0992294,-83.1140771
"Redmond, WA",47,Redmond, WA,47.6739881,-122.121512
"Westlake Village, CA",47,Westlake Village, CA,34.1466467,-118.8073729
"Folsom, CA",47,Folsom, CA,38.6779591,-121.1760583
"Woodland Hills, CA",46,Woodland Hills, CA,34.165357,-118.6089752
