,Location,City,city_name,state_name,Lat,Lng
0,"Abbott Park, IL",2,Abbott Park, IL,42.304505,-87.8960712
1,"Aberdeen Proving Ground, MD",6,Aberdeen Proving Ground, MD,39.4632824,-76.1203982
2,"Aberdeen, MD",6,Aberdeen, MD,39.5095556,-76.1641197
3,"Abingdon, MD",2,Abingdon, MD,39.4622357,-76.2772223
4,"Acton, MA",9,Acton, MA,42.4850931,-71.43284
5,"Ada, MI",1,Ada, MI,42.960727,-85.4954803
6,"Addison, IL",6,Addison, IL,41.931696,-87.9889556
7,"Addison, TX",32,Addison, TX,32.96179,-96.8291685
8,"Adelanto, CA",1,Adelanto, CA,34.5827699,-117.409215
9,"Afton, VA",2,Afton, VA,38.0323988,-78.8395137
10,"Agawam, MA",4,Agawam, MA,42.0695391,-72.6148117
11,"Agoura Hills, CA",25,Agoura Hills, CA,34.1533395,-118.7616764
12,"Aiken, SC",2,Aiken, SC,33.5604168,-81.7195533
13,"Akron, OH",15,Akron, OH,41.0814447,-81.5190053
14,"Alachua, FL",2,Alachua, FL,29.7938144,-82.4944226
15,"Alameda, CA",20,Alameda, CA,37.7652065,-122.2416355
16,"Albany, GA",1,Albany, GA,31.5785074,-84.155741
17,"Albany, NY",86,Albany, NY,42.6525793,-73.7562317
18,"Albuquerque, NM",20,Albuquerque, NM,35.0843859,-106.650422
19,"Alexandria, LA",2,Alexandria, LA,31.3112936,-92.4451371
20,"Alexandria, MN",2,Alexandria, MN,45.8848164,-95.3776663
21,"Alexandria, PA",1,Alexandria, PA,40.5564586,-78.0977847
22,"Alexandria, VA",72,Alexandria, VA,38.8048355,-77.0469214
23,"Aliso Viejo, CA",40,Aliso Viejo, CA,33.5684605,-117.7262981
24,"Allen Park, MI",13,Allen Park, MI,42.2575385,-83.2110375
25,"Allen, TX",11,Allen, TX,33.1031744,-96.6705503
26,"Allentown, PA",24,Allentown, PA,40.6022939,-75.4714098
27,"Allston, MA",1,Allston, MA,42.3539038,-71.1337112
28,"Almonte Springs, FL",1,Almonte Springs, FL,28.6611089,-81.3656242
29,"Alpena, MI",1,Alpena, MI,45.0616794,-83.4327528
30,"Alpharetta, GA",157,Alpharetta, GA,34.0753762,-84.2940899
31,"Ambler, PA",2,Ambler, PA,40.1545535,-75.2215651
32,"American Canyon, CA",1,American Canyon, CA,38.1749178,-122.2608044
33,"American Fork, UT",12,American Fork, UT,40.3768954,-111.7957645
34,"Amherst, MA",9,Amherst, MA,42.3732216,-72.5198537
35,"Amherst, NY",3,Amherst, NY,42.9790067,-78.792272
36,"Anaheim, CA",38,Anaheim, CA,33.8365932,-117.9143012
37,"Anchorage, AK",4,Anchorage, AK,61.2180556,-149.9002778
38,"Anderson, IN",1,Anderson, IN,40.1053196,-85.6802541
39,"Anderson, SC",23,Anderson, SC,34.5034394,-82.6501332
40,"Andersonville, TN",1,Andersonville, TN,36.1986395,-84.0369153
41,"Andover, MA",30,Andover, MA,42.6583356,-71.1367953
42,"Ann Arbor, MI",37,Ann Arbor, MI,42.2808256,-83.7430378
43,"Anna, TX",1,Anna, TX,33.3490011,-96.5485991
44,"Annapolis Junction, MD",24,Annapolis Junction, MD,39.1202934,-76.7769324
45,"Annapolis, MD",6,Annapolis, MD,38.9784453,-76.4921829
46,"Ansonia, CT",1,Ansonia, CT,41.3462078,-73.0789969
47,"Any City In The Us, GA",1,Any City In The Us, GA,34.269642,-84.751808
48,"Appleton, WI",1,Appleton, WI,44.2619309,-88.4153847
49,"Arcadia, CA",2,Arcadia, CA,34.1397292,-118.0353449
50,"Arcadia, WI",4,Arcadia, WI,44.2527405,-91.5015432
51,"Arden Hills, MN",15,Arden Hills, MN,45.0502435,-93.1566112
52,"Arden, DE",1,Arden, DE,39.8092794,-75.4865866
53,"Arizona, AZ",3,Arizona, AZ,34.0489281,-111.0937311
54,"Arlington Heights, IL",2,Arlington Heights, IL,42.0883603,-87.9806265
55,"Arlington, MA",1,Arlington, MA,42.4153925,-71.1564729
56,"Arlington, TX",10,Arlington, TX,32.735687,-97.1080656
57,"Arlington, VA",65,Arlington, VA,38.8816208,-77.0909809
58,"Armonk, NY",1,Armonk, NY,41.1264849,-73.7140195
59,"Arvada, CO",1,Arvada, CO,39.8027644,-105.0874842
60,"Ashburn, VA",39,Ashburn, VA,39.0437567,-77.4874416
61,"Asheville, NC",4,Asheville, NC,35.5950581,-82.5514869
62,"Ashland, OH",3,Ashland, OH,40.8686675,-82.3182178
63,"Ashland, OR",1,Ashland, OR,42.1945758,-122.7094767
64,"Ashland, VA",1,Ashland, VA,37.7590318,-77.4799837
65,"Atlanta, GA",198,Atlanta, GA,33.7489954,-84.3879824
66,"Atlantic City, NJ",3,Atlantic City, NJ,39.3642834,-74.4229266
67,"Attleboro, MA",5,Attleboro, MA,41.9445441,-71.2856082
68,"Auburn Hills, MI",32,Auburn Hills, MI,42.6875323,-83.2341028
69,"Auburn, IN",3,Auburn, IN,41.3669942,-85.0588575
